Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
SP1,2014-08-23,Almeria,Espanyol,72,73,73,73,70,73,71,72,31,32,25,25,38.3,75.7,1,1,D,0,0,D,19,12,6,2,8,9,11,7,3,2,0,1,0.98,0.4,0.65,0.33,1.88,0.77,6.67,15.8,2.55,3.3,2.7,2.55,3.25,2.7,2.5,3.3,2.65,2.8,3.29,2.78,2.7,3.1,2.7,2.75,3.3,2.8,3.19,3.26,2.5
SP1,2014-08-23,Granada,Deportivo La Coruna,73,72,69,72,72,72,71,71,39,33,25,26,67.55,53.9,2,1,H,0,1,A,10,7,3,1,13,26,5,3,1,2,0,0,0.55,0.38,0.49,0.23,1.45,1.08,4.78,5.8,1.95,3.2,4.2,2.05,3.3,3.6,2.0,3.3,3.6,2.05,3.33,4.31,2.05,3.1,4.0,2.05,3.25,4.33,2.2,3.34,3.75
SP1,2014-08-23,Malaga,Athletic Club,74,78,76,77,73,78,74,78,30,27,26,26,82.8,112.1,1,0,H,1,0,H,12,12,3,5,13,9,5,4,3,3,2,0,1.32,1.14,0.12,1.03,1.53,1.14,12.07,6.3,2.8,3.3,2.45,2.75,3.2,2.55,2.6,3.2,2.6,2.96,3.37,2.6,2.8,3.1,2.62,2.9,3.3,2.6,3.14,3.23,2.56
SP1,2014-08-23,Sevilla,Valencia,78,77,80,77,77,76,77,77,34,26,25,24,166.75,230.0,1,1,D,1,0,H,10,11,3,1,23,8,3,3,4,2,0,1,1.17,1.75,0.54,0.77,0.89,1.82,9.42,10.65,2.05,3.5,3.5,2.05,3.3,3.6,2.1,3.3,3.3,2.05,3.62,3.9,2.1,3.25,3.6,2.05,3.5,3.8,2.29,3.46,3.4
SP1,2014-08-24,Barcelona,Elche,84,72,87,71,84,71,81,72,31,29,25,25,603.8,38.6,3,0,H,1,0,H,12,3,6,0,11,13,3,1,0,1,1,0,1.54,0.11,1.03,0.03,2.61,0.22,6.55,18.39,1.1,9.0,21.0,1.1,8.75,21.0,1.1,8.0,20.0,1.1,13.15,29.7,1.1,10.0,21.0,1.06,11.0,36.0,1.11,12.8,24.0
SP1,2014-08-24,Celta Vigo,Getafe,73,73,76,71,75,73,71,72,28,33,24,26,60.4,50.2,3,1,H,1,0,H,20,12,8,3,19,15,4,4,4,1,0,0,1.92,0.67,1.61,0.54,2.32,0.49,5.38,12.4,1.91,3.4,4.0,1.91,3.3,4.1,1.95,3.4,3.65,1.92,3.64,4.45,1.95,3.5,3.8,1.92,3.5,4.5,1.68,3.88,5.9
SP1,2014-08-24,Eibar,Real Sociedad,71,77,73,77,70,76,71,77,25,30,28,25,29.4,96.8,1,0,H,1,0,H,12,19,5,4,13,14,5,6,4,1,0,0,0.47,0.98,0.32,0.85,0.83,1.81,8.79,6.67,3.25,3.4,2.2,3.2,3.2,2.25,3.1,3.3,2.2,3.53,3.37,2.27,3.3,3.2,2.25,3.5,3.4,2.25,3.08,3.16,2.65
SP1,2014-08-24,Levante,Villarreal,74,76,75,77,74,75,74,75,31,37,27,24,43.45,132.699999,0,2,A,0,0,D,9,12,2,6,11,14,3,4,1,3,0,0,0.35,3.01,0.12,1.88,0.06,2.9,10.5,19.56,3.4,3.4,2.1,3.2,3.25,2.2,3.1,3.3,2.2,3.84,3.42,2.14,3.3,3.3,2.2,3.75,3.4,2.15,5.14,3.46,1.86
SP1,2014-08-25,Real Madrid,Cordoba,83,71,88,71,85,72,81,69,41,36,24,25,788.8,50.9,2,0,H,1,0,H,14,8,8,2,9,13,8,5,1,2,0,0,0.61,0.38,0.51,0.24,1.52,1.02,8.48,21.56,1.06,11.0,29.0,1.08,10.0,23.0,1.07,9.5,22.0,1.07,16.85,33.5,1.08,11.0,34.0,1.06,15.0,41.0,1.06,18.01,39.31
SP1,2014-08-25,Rayo Vallecano,Atletico Madrid,74,80,71,83,74,80,72,79,29,32,26,25,51.7,356.0,0,0,D,0,0,D,8,9,2,2,13,17,2,4,2,2,0,0,0.36,0.9,0.22,0.85,0.74,1.9,6.92,10.59,7.0,4.0,1.5,5.75,4.0,1.55,6.1,4.0,1.5,7.07,4.45,1.53,6.5,3.8,1.53,6.5,4.2,1.55,5.66,3.61,1.76
