Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2018-08-18,Chievo,Juventus,74,85,75,88,76,84,71,85,68,59,24,25,54.7,871.05,2,3,A,1,1,D,7,23,2,11,7,9,0,8,2,0,0,0,1.05,2.26,0.29,2.01,0.52,2.27,22.05,6.81,13.0,5.75,1.25,14.0,6.25,1.22,13.0,5.8,1.25,15.87,6.21,1.25,13.0,6.0,1.22,15.0,6.0,1.25,18.84,6.42,1.22
I1,2018-08-18,Lazio,Napoli,80,82,82,84,81,82,79,82,57,54,24,24,291.15,646.8,1,2,A,1,1,D,9,11,5,6,8,5,4,7,0,0,0,0,1.08,1.52,0.54,1.48,0.96,1.75,25.56,14.5,2.8,3.4,2.5,2.8,3.5,2.45,2.8,3.55,2.4,2.9,3.59,2.48,2.8,3.5,2.4,2.88,3.4,2.5,2.78,3.57,2.59
I1,2018-08-19,Bologna,SPAL,75,73,76,75,75,73,74,72,48,51,25,25,119.68,97.4,0,1,A,0,0,D,8,10,3,5,16,11,7,0,4,2,1,0,0.91,0.53,0.82,0.42,1.72,0.92,8.97,8.0,2.25,3.2,3.4,2.25,3.2,3.4,2.25,3.1,3.45,2.32,3.16,3.58,2.25,3.2,3.3,2.25,3.1,3.7,2.31,3.18,3.59
I1,2018-08-19,Empoli,Cagliari,71,73,71,74,71,74,70,70,59,49,24,25,105.6,155.38,2,0,H,1,0,H,9,12,4,5,19,19,6,6,3,3,0,0,1.46,0.57,1.04,0.5,2.14,0.61,10.48,6.12,2.14,3.2,3.6,2.15,3.25,3.6,2.15,3.3,3.45,2.22,3.26,3.6,2.25,3.25,3.25,2.25,3.13,3.6,2.54,3.42,2.95
I1,2018-08-19,Parma,Udinese,70,74,72,75,68,75,69,74,70,56,25,24,95.75,201.2,2,2,D,1,0,H,9,16,6,6,10,13,4,5,2,2,0,0,1.55,2.0,0.44,1.07,0.99,1.72,13.5,10.79,2.45,3.3,2.9,2.45,3.2,3.0,2.45,3.15,3.05,2.51,3.2,3.18,2.5,3.2,2.9,2.6,3.1,3.0,2.8,3.24,2.78
I1,2018-08-19,Sassuolo,Inter,75,82,75,83,75,81,73,82,59,60,23,24,242.05,617.93,1,0,H,1,0,H,7,11,5,4,23,11,4,4,3,2,0,0,1.4,1.2,0.57,1.1,1.52,1.17,14.21,8.08,5.5,4.0,1.61,5.25,3.9,1.65,5.4,4.0,1.6,5.96,4.19,1.61,5.0,3.8,1.65,6.25,3.9,1.6,5.08,3.71,1.79
I1,2018-08-19,Torino,Roma,77,81,78,81,77,81,77,81,62,57,23,23,239.23,459.05,0,1,A,0,0,D,8,16,5,13,10,14,6,5,1,3,0,0,0.5,1.18,0.5,1.11,0.74,1.96,15.47,6.46,3.5,3.5,2.1,3.5,3.6,2.05,3.4,3.55,2.1,3.59,3.59,2.14,3.4,3.6,2.05,3.6,3.5,2.1,3.62,3.55,2.14
I1,2018-08-20,Atalanta,Frosinone,76,72,77,73,74,71,77,72,88,44,22,25,367.68,54.53,4,0,H,1,0,H,16,6,10,1,14,10,4,4,0,2,0,0,2.67,0.35,2.5,0.16,2.8,0.12,8.5,23.5,1.36,4.5,11.0,1.36,5.0,8.5,1.35,4.95,9.6,1.35,5.01,10.76,1.35,4.8,9.0,1.33,5.0,12.0,1.35,5.26,10.54
I1,2018-08-25,Juventus,Lazio,85,80,89,82,85,81,85,79,59,57,25,24,871.05,291.15,2,0,H,1,0,H,14,8,9,3,12,13,6,2,3,2,0,0,1.51,0.32,0.84,0.26,2.42,0.37,13.44,10.79,1.36,5.0,8.5,1.36,5.0,8.5,1.38,4.95,8.0,1.36,5.2,10.07,1.36,4.75,8.0,1.33,5.0,10.0,1.51,4.53,7.08
I1,2018-08-25,Napoli,AC Milan,82,81,84,83,82,80,82,79,54,45,24,24,646.8,578.48,3,2,H,0,1,A,21,6,13,4,12,9,5,1,2,2,0,0,2.04,0.52,1.97,0.47,2.45,0.38,10.02,17.94,1.61,4.0,5.5,1.62,4.0,5.5,1.67,3.95,5.1,1.68,3.92,5.7,1.65,3.9,5.0,1.65,4.0,5.5,1.65,4.01,5.94
