Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2016-08-20,Juventus,Fiorentina,84,78,85,79,84,78,84,80,38,42,26,24,497.18,217.08,2,1,H,1.0,0.0,H,19,4,4,1,11,16,3,1,1,3,0,0,1.56,0.24,0.61,0.24,2.47,0.33,11.63,17.89,1.5,4.2,7.0,1.48,4.0,7.75,1.5,4.0,6.1,1.51,4.26,8.24,1.5,4.0,7.0,1.5,4.2,8.0,1.51,4.15,8.61
I1,2016-08-20,Roma,Udinese,80,76,80,76,82,75,80,77,47,44,23,24,354.68,101.95,4,0,H,0.0,0.0,D,25,11,9,1,8,14,10,5,0,2,0,0,5.75,0.52,3.62,0.5,2.99,0.0,5.41,25.5,1.44,4.5,7.5,1.42,4.6,8.0,1.45,4.0,7.0,1.5,4.56,7.6,1.44,4.33,7.0,1.44,4.4,8.5,1.46,4.72,8.12
I1,2016-08-21,Atalanta,Lazio,75,78,76,78,73,79,74,78,44,46,25,23,161.7,226.45,3,4,A,0.0,3.0,A,19,11,6,6,5,16,7,2,2,2,0,0,1.55,1.81,0.87,1.42,1.12,1.61,11.58,14.04,3.1,3.25,2.4,3.0,3.2,2.45,2.85,3.2,2.4,3.2,3.27,2.49,3.0,3.1,2.5,3.2,3.1,2.5,2.96,3.27,2.66
I1,2016-08-21,Bologna,Crotone,75,69,77,69,74,69,74,71,48,37,24,25,95.0,36.7,1,0,H,0.0,0.0,D,20,5,6,0,7,17,5,3,1,1,0,0,1.74,0.38,0.82,0.37,2.43,0.38,12.17,9.19,1.85,3.5,5.0,1.85,3.3,4.75,1.9,3.3,4.0,1.91,3.39,4.95,1.91,3.3,4.2,1.87,3.2,5.2,1.78,3.5,5.79
I1,2016-08-21,Chievo,Inter,75,81,74,80,76,81,75,79,44,41,26,25,45.88,328.3,2,0,H,0.0,0.0,D,12,13,4,3,15,13,4,8,2,4,0,0,0.78,1.02,0.58,0.37,1.11,1.55,11.17,6.68,3.75,3.3,2.1,3.8,3.3,2.05,3.3,3.3,2.1,3.9,3.35,2.15,3.6,3.2,2.1,3.9,3.2,2.1,4.14,3.36,2.08
I1,2016-08-21,Empoli,Sampdoria,73,75,74,77,73,75,72,72,42,42,24,24,55.45,117.58,0,1,A,0.0,1.0,A,8,15,3,5,17,32,2,5,3,4,1,0,0.93,1.05,0.87,0.53,1.25,1.41,9.78,4.97,2.3,3.2,3.3,2.3,3.2,3.3,2.4,3.1,2.95,2.37,3.29,3.4,2.38,3.1,3.1,2.3,3.1,3.5,2.2,3.42,3.66
I1,2016-08-21,Genoa,Cagliari,75,73,75,74,75,73,75,74,44,46,25,24,108.18,61.08,3,1,H,0.0,0.0,D,22,4,6,3,13,10,6,1,4,3,0,0,1.53,0.91,1.34,0.86,1.82,0.9,3.03,14.15,2.05,3.3,3.8,2.0,3.4,3.9,2.0,3.3,3.6,2.06,3.52,3.99,2.1,3.2,3.6,2.05,3.3,4.0,2.0,3.55,4.18
I1,2016-08-21,AC Milan,Torino,79,77,80,77,79,76,77,77,42,51,24,24,254.33,162.35,3,2,H,1.0,0.0,H,11,20,5,4,13,20,10,10,0,3,1,0,2.6,1.75,1.82,0.81,2.02,0.77,8.79,6.31,1.85,3.5,4.33,1.85,3.5,4.5,1.85,3.3,4.3,1.92,3.54,4.64,1.91,3.25,4.33,1.87,3.4,4.8,1.94,3.47,4.61
I1,2016-08-21,Palermo,Sassuolo,72,76,68,77,73,76,74,74,39,48,24,24,41.1,145.25,0,1,A,0.0,1.0,A,7,22,2,8,19,15,4,8,1,2,1,0,0.35,1.68,0.26,0.63,0.33,2.49,10.9,8.19,3.0,3.2,2.5,2.95,3.1,2.55,2.7,3.1,2.6,3.18,3.22,2.54,2.8,3.1,2.62,3.2,3.1,2.5,3.42,3.2,2.41
I1,2016-08-21,Pescara,Napoli,71,80,71,81,71,81,71,80,50,37,24,25,48.1,387.38,2,2,D,2.0,0.0,H,9,22,3,4,10,12,3,9,3,2,0,0,1.08,1.42,1.03,0.71,1.08,1.62,24.31,8.62,7.5,4.5,1.44,7.5,4.5,1.44,7.0,4.0,1.45,8.18,4.52,1.48,7.0,4.33,1.44,7.5,4.5,1.44,8.47,4.82,1.44
