Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2021-08-21,Inter,Genoa,81,74,77,74,81,72,83,73,36,47,27,26,558.55,121.28,4,0,H,2,0,H,17,11,8,5,18,7,8,2,1,2,0,0,2.21,0.97,2.09,0.9,2.24,0.57,8.94,22.63,1.33,5.25,9.0,1.33,5.5,8.5,1.37,5.25,8.0,1.36,5.37,9.65,1.35,5.0,9.0,1.3,5.0,10.0,1.31,5.78,11.37
I1,2021-08-21,Verona,Sassuolo,75,76,76,76,75,77,74,72,43,43,24,25,162.98,251.0,2,3,A,0,1,A,12,15,4,8,11,12,7,4,3,2,1,0,2.25,1.87,1.37,1.43,1.68,1.09,13.26,16.0,2.62,3.3,2.62,2.55,3.5,2.7,2.6,3.45,2.7,2.66,3.55,2.75,2.6,3.4,2.7,2.63,3.25,2.7,2.64,3.43,2.84
I1,2021-08-21,Empoli,Lazio,70,80,70,81,69,82,70,79,40,34,24,27,126.5,264.48,1,3,A,1,3,A,16,8,5,5,13,10,5,3,2,1,0,0,1.13,1.78,0.88,1.02,0.83,1.91,8.21,8.84,4.6,4.0,1.7,4.6,3.9,1.75,4.6,3.95,1.7,5.01,4.02,1.74,4.75,3.7,1.75,5.0,3.7,1.7,4.11,3.84,1.93
I1,2021-08-21,Torino,Atalanta,75,80,76,81,74,80,74,78,41,44,24,24,223.4,398.75,1,2,A,0,1,A,19,6,8,2,17,13,5,1,2,2,0,0,0.86,1.01,0.68,0.88,1.15,1.53,7.97,7.67,5.5,4.33,1.55,5.0,4.25,1.62,5.25,4.3,1.6,5.5,4.25,1.65,5.5,4.2,1.6,5.75,4.2,1.55,6.51,4.5,1.54
I1,2021-08-22,Bologna,Salernitana,75,69,77,67,75,67,73,69,45,51,23,25,186.2,70.56,3,2,H,0,0,D,18,8,7,4,13,15,9,4,6,3,2,1,1.73,1.64,1.34,0.25,1.43,1.3,2.61,13.36,1.65,4.0,5.0,1.67,4.0,5.0,1.63,4.1,5.25,1.65,4.29,5.42,1.63,4.0,5.25,1.62,3.75,5.75,1.55,4.52,6.38
I1,2021-08-22,Udinese,Juventus,74,83,75,85,74,82,73,84,44,43,25,25,142.3,642.5,2,2,D,0,2,A,11,11,6,4,11,12,3,3,1,3,0,0,2.09,1.49,0.71,1.32,1.84,0.92,19.06,11.21,7.5,4.33,1.45,7.5,4.5,1.44,7.5,4.4,1.45,7.59,4.48,1.49,7.5,4.2,1.47,8.0,4.33,1.4,7.45,4.03,1.56
I1,2021-08-22,Napoli,Venezia,80,69,81,71,80,68,80,69,37,51,25,24,477.23,80.98,2,0,H,0,0,D,13,8,4,4,5,22,2,2,1,7,1,0,2.39,0.61,0.54,0.6,2.69,0.2,15.65,16.41,1.22,6.5,12.0,1.25,6.25,11.0,1.25,6.5,11.0,1.25,6.67,12.08,1.24,6.0,13.0,1.2,6.5,13.0,1.22,7.1,13.81
I1,2021-08-22,Roma,Fiorentina,79,76,77,75,79,77,77,75,39,38,23,25,381.25,325.8,3,1,H,1,0,H,11,11,6,8,12,14,4,4,3,2,1,1,2.75,0.87,2.72,0.87,2.62,0.26,16.0,12.26,1.72,3.8,4.75,1.72,4.0,4.6,1.75,3.95,4.3,1.81,3.96,4.59,1.75,3.8,4.6,1.73,3.7,4.75,1.67,4.2,5.31
I1,2021-08-23,Cagliari,Spezia,74,70,75,69,73,71,73,67,46,34,25,23,134.53,78.5,2,2,D,0,1,A,16,13,10,6,17,17,11,4,2,3,0,0,3.29,1.03,1.63,0.92,2.74,0.17,6.7,10.07,1.95,3.4,4.0,2.0,3.7,3.6,1.95,3.65,3.8,1.97,3.78,3.97,1.95,3.5,3.9,1.93,3.4,4.1,1.85,3.66,4.73
I1,2021-08-23,Sampdoria,AC Milan,75,80,76,78,76,79,73,80,46,37,26,25,128.55,546.95,0,1,A,0,1,A,11,10,3,4,16,14,8,3,3,1,0,0,1.25,0.8,1.04,0.47,1.76,0.94,8.21,7.54,4.0,3.6,1.9,4.33,3.5,1.87,3.85,3.6,1.95,4.23,3.55,1.98,4.2,3.5,1.91,4.0,3.4,1.93,3.68,3.48,2.16
