Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2019-08-24,Parma,Juventus,74,85,75,87,74,83,71,84,40,38,26,26,128.75,661.88,0,1,A,0,1,A,5,9,4,4,12,14,5,8,2,3,0,0,0.26,1.89,0.07,1.79,0.23,2.63,10.67,6.62,9.0,5.25,1.33,9.5,5.0,1.3,9.5,5.2,1.33,10.96,5.28,1.33,11.0,5.25,1.29,12.0,5.25,1.3,9.6,5.2,1.37
I1,2019-08-24,Fiorentina,Napoli,75,82,74,85,77,82,76,81,42,33,24,26,302.23,548.28,3,4,A,1,2,A,10,8,6,6,21,16,4,5,2,4,0,0,1.94,1.95,0.67,1.18,1.34,1.38,10.1,7.53,4.75,3.75,1.72,4.6,3.6,1.75,4.5,3.8,1.77,5.12,3.71,1.77,4.8,3.6,1.75,5.0,3.7,1.75,4.52,3.72,1.85
I1,2019-08-25,Udinese,AC Milan,75,80,76,80,75,79,74,80,39,37,24,25,121.08,404.33,1,0,H,0,0,D,11,6,6,0,14,11,9,4,1,3,0,0,0.78,0.63,0.54,0.46,1.43,1.19,19.44,10.0,3.75,3.3,2.05,3.7,3.2,2.05,3.75,3.35,2.05,3.95,3.4,2.08,3.9,3.25,2.0,4.1,3.25,2.05,4.03,3.43,2.04
I1,2019-08-25,Cagliari,Brescia,75,72,77,76,77,71,71,69,41,33,25,25,167.83,83.23,0,1,A,0,0,D,9,8,5,3,10,11,8,8,2,2,0,0,1.0,1.33,0.88,0.41,1.0,1.7,5.67,14.67,1.83,3.6,4.33,1.8,3.5,4.4,1.8,3.6,4.55,1.83,3.77,4.57,1.78,3.6,4.5,1.8,3.6,4.75,1.83,3.67,4.75
I1,2019-08-25,Roma,Genoa,79,75,80,74,77,74,79,76,36,43,25,26,392.73,142.38,3,3,D,2,2,D,17,6,9,4,15,13,5,1,3,1,0,0,2.63,1.13,1.87,0.35,2.41,0.42,18.21,7.83,1.45,4.2,8.0,1.44,4.25,7.0,1.5,4.3,6.6,1.5,4.11,8.22,1.47,4.0,7.5,1.5,4.3,7.5,1.75,3.69,5.32
I1,2019-08-25,Sampdoria,Lazio,75,80,77,81,73,81,75,78,38,34,25,26,135.28,303.88,0,3,A,0,1,A,12,16,8,10,13,11,5,9,2,2,0,0,0.63,1.54,0.49,0.98,0.61,2.14,10.08,11.73,3.5,3.4,2.05,3.4,3.3,2.1,3.45,3.45,2.1,3.75,3.37,2.15,3.6,3.25,2.1,3.7,3.3,2.15,3.7,3.47,2.12
I1,2019-08-25,SPAL,Atalanta,73,78,75,82,72,78,72,78,42,37,25,24,73.63,291.43,2,3,A,2,1,H,8,18,3,14,13,16,2,10,2,1,0,0,1.48,1.7,1.44,1.18,1.22,1.51,12.86,6.07,4.75,3.75,1.72,5.0,3.5,1.72,4.75,3.65,1.77,5.13,3.74,1.76,5.0,3.5,1.73,5.0,3.5,1.8,5.25,3.8,1.73
I1,2019-08-25,Torino,Sassuolo,78,74,79,74,77,74,77,72,37,44,24,24,163.55,167.98,2,1,H,1,0,H,7,13,4,9,21,15,6,6,4,3,0,0,1.87,1.35,1.83,1.0,1.77,0.98,8.4,3.39,1.85,3.5,4.33,1.83,3.5,4.25,1.87,3.55,4.3,1.93,3.52,4.42,1.85,3.4,4.4,1.9,3.4,4.6,1.93,3.53,4.4
I1,2019-08-25,Verona,Bologna,73,75,73,75,74,76,72,74,40,40,25,24,112.53,129.65,1,1,D,1,1,D,5,14,2,5,12,13,1,6,1,3,1,0,0.11,2.11,0.02,1.27,0.09,2.83,15.94,4.47,3.4,3.2,2.25,3.2,3.2,2.25,3.35,3.2,2.3,3.51,3.3,2.26,3.4,3.2,2.2,3.5,3.1,2.3,4.01,3.42,2.05
I1,2019-08-26,Inter,Lecce,82,71,83,71,78,70,84,71,34,47,26,25,606.05,52.33,4,0,H,2,0,H,16,10,7,4,14,8,7,7,1,2,0,1,2.14,0.41,1.46,0.31,2.58,0.28,7.58,20.75,1.22,6.25,13.0,1.22,6.0,12.5,1.25,6.0,11.5,1.23,6.39,15.59,1.22,6.0,15.0,1.22,6.25,15.0,1.26,6.11,14.71
I1,2019-08-30,Bologna,SPAL,75,73,75,75,76,72,74,72,40,42,24,25,129.65,73.63,1,0,H,0,0,D,18,7,9,1,13,13,11,2,3,2,0,0,3.76,0.85,3.66,0.85,2.85,0.1,5.15,8.35,1.8,3.5,4.6,1.85,3.5,4.5,1.83,3.5,4.6,1.84,3.62,4.77,1.78,3.5,4.75,1.87,3.4,5.0,1.85,3.57,4.74
I1,2019-08-31,AC Milan,Brescia,80,72,80,76,79,71,80,69,37,33,25,25,404.33,83.23,1,0,H,1,0,H,11,4,6,2,14,18,5,3,3,4,0,0,1.93,0.86,1.81,0.74,2.2,0.56,5.63,11.33,1.44,4.33,8.0,1.45,4.2,8.25,1.5,4.25,6.7,1.5,4.14,8.04,1.44,4.2,7.5,1.45,4.3,8.0,1.57,3.95,7.0
I1,2019-08-31,Juventus,Napoli,85,82,87,85,83,82,84,81,38,33,26,26,661.88,548.28,4,3,H,2,0,H,10,12,8,7,13,13,2,5,3,3,0,0,2.01,1.59,1.6,1.56,1.7,1.04,14.59,9.67,1.95,3.4,4.2,1.95,3.3,4.25,1.97,3.4,4.0,2.0,3.36,4.35,1.95,3.25,4.2,1.95,3.4,4.33,2.06,3.41,4.0
I1,2019-09-01,Lazio,Roma,80,79,81,80,81,77,78,79,34,36,26,25,303.88,392.73,1,1,D,0,1,A,21,8,13,5,15,13,8,4,4,3,0,0,2.07,1.2,1.98,0.36,2.03,0.72,6.23,14.69,2.15,3.6,3.3,2.15,3.6,3.25,2.15,3.7,3.2,2.14,3.69,3.44,2.1,3.6,3.25,2.15,3.6,3.4,2.06,3.75,3.69
I1,2019-09-01,Atalanta,Torino,78,78,82,79,78,77,78,77,37,37,24,24,291.43,163.55,2,3,A,1,1,D,19,8,12,6,13,15,12,5,2,2,0,0,1.83,0.68,1.67,0.66,2.21,0.57,4.63,6.12,1.57,4.0,5.75,1.6,4.0,5.75,1.6,4.05,5.4,1.63,4.29,5.41,1.57,4.0,5.8,1.57,4.1,6.25,1.61,4.19,5.81
I1,2019-09-01,Cagliari,Inter,75,82,77,83,77,78,71,84,41,34,25,26,167.83,606.05,1,2,A,0,1,A,7,9,3,8,12,11,5,5,5,3,0,0,0.48,1.78,0.47,0.85,0.32,2.51,20.15,11.68,5.5,3.75,1.66,5.5,3.8,1.65,5.3,3.9,1.65,5.59,4.03,1.65,5.5,3.8,1.62,6.0,3.75,1.65,6.0,4.27,1.58
I1,2019-09-01,Genoa,Fiorentina,75,75,74,74,74,77,76,76,43,42,26,24,142.38,302.23,2,1,H,1,0,H,18,15,10,7,17,15,9,8,2,0,0,0,2.41,1.8,2.13,0.94,1.78,1.0,6.04,9.2,2.62,3.3,2.75,2.55,3.5,2.7,2.55,3.5,2.65,2.56,3.59,2.78,2.5,3.4,2.7,2.63,3.4,2.75,2.85,3.5,2.55
I1,2019-09-01,Lecce,Verona,71,73,71,73,70,74,71,72,47,40,25,25,52.33,112.53,0,1,A,0,0,D,9,11,3,6,14,14,2,7,2,3,0,0,0.99,1.82,0.79,1.61,0.76,2.0,13.75,12.68,1.95,3.5,3.8,1.9,3.5,4.25,1.9,3.55,4.05,1.93,3.73,4.1,1.88,3.6,4.0,1.9,3.5,4.33,2.06,3.49,3.9
I1,2019-09-01,Sassuolo,Sampdoria,74,75,74,77,74,73,72,75,44,38,24,25,167.98,135.28,4,1,H,3,0,H,11,8,8,5,9,10,3,5,1,3,0,1,2.66,1.24,1.65,0.39,2.36,0.46,11.33,18.63,2.25,3.4,3.2,2.25,3.5,3.1,2.25,3.55,3.1,2.29,3.53,3.24,2.25,3.4,3.1,2.25,3.5,3.25,2.25,3.51,3.32
I1,2019-09-01,Udinese,Parma,75,74,76,75,75,74,74,71,39,40,24,26,121.08,128.75,1,3,A,1,1,D,17,6,12,3,11,11,8,1,1,3,0,0,1.7,1.21,0.97,1.21,1.69,1.03,13.29,9.97,2.05,3.4,3.75,2.0,3.2,4.2,2.0,3.35,3.9,2.04,3.38,4.12,2.0,3.25,4.0,2.05,3.2,4.2,1.95,3.59,4.22
I1,2019-09-14,Fiorentina,Juventus,75,85,74,87,77,83,76,84,42,38,24,26,302.23,661.88,0,0,D,0,0,D,15,5,8,4,12,18,10,0,3,3,0,0,1.48,0.32,1.09,0.15,2.34,0.43,13.48,5.85,4.75,3.8,1.72,5.25,3.8,1.67,4.8,3.9,1.7,5.26,3.94,1.7,5.0,3.8,1.67,5.25,3.8,1.7,4.73,3.61,1.85
I1,2019-09-14,Napoli,Sampdoria,82,75,85,77,82,73,81,75,33,38,26,25,548.28,135.28,2,0,H,1,0,H,19,7,9,2,7,10,8,7,2,2,0,0,1.73,1.7,1.46,1.14,1.33,1.39,8.45,22.75,1.25,6.5,10.0,1.26,6.25,10.5,1.3,5.9,9.1,1.28,6.47,9.97,1.25,6.0,11.0,1.25,6.5,10.5,1.3,5.83,10.44
I1,2019-09-14,Inter,Udinese,82,75,83,76,78,75,84,74,34,39,26,24,606.05,121.08,1,0,H,1,0,H,15,6,10,4,9,10,8,3,2,1,0,1,1.57,0.25,0.58,0.25,2.5,0.32,9.86,27.64,1.33,5.25,9.0,1.3,5.5,9.75,1.35,5.1,8.6,1.34,5.43,9.84,1.32,5.0,9.5,1.33,5.2,10.5,1.34,5.41,9.61
