Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
I1,2020-09-19,Fiorentina,Torino,75,76,77,77,73,75,76,76,41,40,25,25,286.8,175.28,1,0,H,0,0,D,17,6,8,3,17,20,4,1,3,1,0,0,2.35,0.62,2.25,0.46,2.62,0.25,9.47,6.86,1.83,3.75,4.2,1.91,3.7,3.9,1.9,3.45,4.1,1.87,3.81,4.24,1.85,3.6,4.33,1.87,3.6,4.33,1.84,3.9,4.45
I1,2020-09-19,Verona,Roma,74,79,74,80,75,77,73,76,46,46,24,24,157.21,395.65,0,0,D,0,0,D,9,15,7,7,19,20,0,6,2,0,0,0,0.91,1.78,0.8,1.5,0.72,2.03,8.42,5.06,3.75,3.5,1.95,3.6,3.5,2.0,3.85,3.45,1.95,3.95,3.81,1.94,3.8,3.6,1.95,3.9,3.5,2.0,4.88,3.83,1.79
I1,2020-09-20,Parma,Napoli,74,81,76,83,74,80,73,81,53,32,25,26,128.699999,530.2,0,2,A,0,0,D,4,12,2,7,16,12,4,2,4,1,0,0,0.16,1.54,0.14,0.54,0.16,2.72,19.42,12.17,5.25,4.2,1.61,5.0,4.1,1.65,5.0,3.95,1.65,5.22,4.29,1.64,5.5,4.0,1.62,5.25,3.8,1.62,7.77,4.83,1.45
I1,2020-09-20,Genoa,Crotone,74,68,72,68,72,68,74,67,44,41,26,26,111.93,52.75,4,1,H,3,1,H,10,11,8,5,13,14,6,4,4,2,0,0,2.23,1.32,2.15,1.15,2.04,0.75,8.94,9.42,1.9,3.6,4.0,1.91,3.6,4.0,1.95,3.4,4.0,1.93,3.69,4.15,1.91,3.6,4.0,1.85,3.3,4.33,2.53,3.26,3.13
I1,2020-09-20,Sassuolo,Cagliari,75,75,77,76,76,74,71,71,39,42,24,25,241.74,187.83,1,1,D,0,0,D,21,8,10,4,9,18,7,3,1,3,0,0,2.03,0.96,1.59,0.91,2.13,0.64,9.26,18.64,1.95,3.75,3.75,1.95,3.9,3.6,1.97,3.6,3.6,1.95,3.92,3.81,1.95,3.7,3.75,1.91,3.6,3.75,1.67,4.3,5.2
I1,2020-09-20,Juventus,Sampdoria,84,74,85,77,82,73,84,72,45,34,24,26,633.3,127.18,3,0,H,1,0,H,14,10,9,2,15,9,6,4,1,1,0,0,2.14,0.61,1.03,0.46,2.55,0.3,6.79,21.65,1.28,5.5,10.5,1.28,6.0,10.0,1.3,6.25,9.5,1.28,6.09,11.4,1.29,5.5,11.0,1.25,5.5,11.5,1.49,4.42,7.77
I1,2020-09-21,AC Milan,Bologna,79,74,83,75,77,75,79,72,42,45,23,24,547.78,153.6,2,0,H,1,0,H,14,6,6,5,13,17,7,4,3,5,0,1,2.94,0.83,1.02,0.79,2.67,0.23,9.26,13.5,1.57,4.33,5.5,1.57,4.25,5.5,1.6,4.1,5.5,1.6,4.32,5.68,1.57,4.2,5.8,1.5,4.2,6.0,1.49,4.72,6.97
I1,2020-09-26,Torino,Atalanta,77,79,77,83,75,79,77,77,40,39,25,25,175.28,430.0,2,4,A,2,3,A,5,12,5,7,11,12,2,6,1,2,0,0,0.77,2.47,0.77,2.37,0.35,2.49,11.72,10.8,4.75,4.4,1.61,4.6,4.25,1.67,4.9,4.0,1.65,5.02,4.36,1.65,5.0,4.2,1.63,5.25,4.0,1.62,5.25,4.25,1.67
I1,2020-09-26,Cagliari,Lazio,74,80,76,82,71,81,70,78,42,44,25,25,187.83,326.33,0,2,A,0,1,A,9,9,3,7,8,13,3,6,1,1,0,0,0.92,1.99,0.31,1.02,0.53,2.25,11.15,13.85,5.0,4.0,1.66,4.75,4.0,1.7,4.9,3.85,1.7,5.08,4.13,1.68,5.0,3.9,1.7,5.25,3.9,1.65,6.16,4.23,1.6
I1,2020-09-26,Sampdoria,Benevento,73,72,76,71,73,71,72,73,34,36,26,27,127.18,50.13,2,3,A,2,1,H,5,11,4,6,17,12,6,4,3,1,0,0,1.36,1.27,1.34,1.1,1.43,1.25,14.43,8.31,2.0,3.6,3.6,2.0,3.6,3.7,2.05,3.35,3.65,2.04,3.59,3.82,2.05,3.4,3.75,2.0,3.4,3.8,1.74,3.87,5.24
I1,2020-09-26,Inter,Fiorentina,83,76,83,77,82,76,84,76,41,41,25,25,663.9,286.8,4,3,H,1,1,D,12,8,6,4,15,10,5,1,1,1,0,0,1.7,2.25,1.66,2.12,0.99,1.79,5.22,24.21,1.5,4.5,6.0,1.55,4.1,6.25,1.57,4.0,5.75,1.57,4.21,6.2,1.52,4.4,6.0,1.5,4.2,6.5,1.54,4.56,6.3
