Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
F1,2020-08-21,Bordeaux,Nantes,75,74,75,77,74,73,75,74,36,32,25,25,105.7,94.75,0,0,D,0,0,D,5,6,1,1,10,15,2,3,2,3,1,0,0.6,0.19,0.59,0.1,1.86,0.7,24.46,13.0,2.4,3.0,3.25,2.4,3.0,3.3,2.5,2.8,3.25,2.48,3.03,3.33,2.45,3.0,3.1,2.45,2.88,3.3,2.71,2.97,3.02
F1,2020-08-22,Dijon,Angers,71,74,73,72,71,74,70,74,37,38,24,25,65.629999,111.65,0,1,A,0,1,A,9,12,1,4,15,8,3,9,0,0,0,0,0.74,2.02,0.79,1.62,0.42,2.38,22.0,24.13,2.7,3.1,2.8,2.75,3.0,2.8,2.75,2.9,2.8,2.79,3.09,2.84,2.7,3.1,2.75,2.7,3.0,2.8,3.36,3.07,2.44
F1,2020-08-22,Lille,Rennes,77,76,77,77,77,75,75,75,32,37,23,24,323.2,297.5,1,1,D,1,0,H,5,16,1,3,12,16,4,2,0,1,1,1,0.4,1.3,0.4,0.92,0.54,2.18,16.5,23.07,2.3,3.2,3.3,2.3,3.2,3.3,2.3,3.0,3.35,2.3,3.22,3.47,2.25,3.2,3.3,2.25,3.13,3.4,1.92,3.47,4.52
F1,2020-08-23,Monaco,Reims,77,73,79,72,74,73,75,73,33,34,24,23,370.35,105.18,2,2,D,1,2,A,22,9,5,3,8,14,8,1,1,3,0,0,2.68,1.83,2.33,1.25,1.94,0.86,3.79,21.19,1.9,3.4,4.33,1.91,3.5,4.2,1.95,3.25,4.2,1.95,3.53,4.24,1.88,3.4,4.2,1.87,3.25,4.4,1.95,3.43,4.42
F1,2020-08-23,Lorient,Strasbourg,70,74,70,76,69,73,71,74,34,34,26,25,72.88,109.65,3,1,H,0,1,A,10,7,7,1,17,10,6,1,3,2,0,0,3.07,0.33,1.58,0.3,2.92,0.05,7.17,17.4,2.5,3.2,3.0,2.6,3.2,2.85,2.55,2.95,2.95,2.62,3.19,2.96,2.5,3.2,2.88,2.55,3.0,2.88,2.45,3.15,3.25
F1,2020-08-23,Nimes,Brest,72,72,70,72,72,71,72,71,36,32,24,25,60.4,103.23,4,0,H,2,0,H,12,10,5,3,14,17,4,4,2,3,0,1,2.15,0.47,2.05,0.41,2.56,0.29,8.21,6.07,2.3,3.2,3.3,2.25,3.3,3.3,2.3,3.15,3.3,2.29,3.39,3.32,2.25,3.3,3.25,2.2,3.25,3.3,2.35,3.38,3.2
F1,2020-08-23,Nice,Lens,75,71,77,71,75,71,75,69,41,36,22,24,236.1,104.3,2,1,H,1,1,D,4,17,2,4,17,18,1,7,2,3,0,0,0.18,3.04,0.14,2.01,0.02,2.96,7.27,12.41,2.0,3.3,4.0,1.95,3.5,3.9,2.05,3.2,3.85,2.05,3.36,4.06,2.0,3.4,3.8,2.0,3.25,3.8,2.02,3.38,4.16
F1,2020-08-28,Lyon,Dijon,78,71,81,73,77,71,77,70,40,37,24,24,431.35,65.629999,4,1,H,3,1,H,27,6,12,2,12,7,13,2,3,3,0,0,3.97,0.22,1.63,0.15,2.98,0.01,6.0,28.6,1.28,5.75,9.0,1.3,5.5,10.0,1.33,5.25,10.0,1.31,5.68,10.21,1.27,5.5,11.0,1.29,5.25,11.0,1.25,6.32,13.01
F1,2020-08-29,Rennes,Montpellier,76,74,77,77,75,74,75,75,37,34,24,25,297.5,113.85,2,1,H,1,0,H,16,11,7,3,18,16,2,1,3,2,1,1,1.79,0.49,1.32,0.35,2.35,0.45,5.11,13.27,2.0,3.3,3.8,2.0,3.3,4.0,2.1,3.1,3.95,2.07,3.31,3.97,2.0,3.3,3.9,2.0,3.25,4.0,1.86,3.55,4.59
F1,2020-08-29,Strasbourg,Nice,74,75,76,77,73,75,74,75,34,41,25,22,109.65,236.1,0,2,A,0,1,A,6,3,0,2,14,11,3,1,2,6,0,0,0.23,1.21,0.15,0.03,0.33,2.45,16.28,12.76,2.2,3.3,3.3,2.25,3.3,3.3,2.3,3.15,3.3,2.28,3.35,3.32,2.2,3.3,3.3,2.25,3.25,3.3,2.09,3.39,3.78
F1,2020-08-30,Reims,Lille,73,77,72,77,73,77,73,75,34,32,23,23,105.18,323.2,0,1,A,0,1,A,4,10,0,3,20,11,1,2,4,1,0,0,0.21,0.91,0.2,0.41,0.59,2.04,10.81,16.39,3.0,3.1,2.45,3.1,3.0,2.55,3.05,2.85,2.6,3.07,2.99,2.64,3.0,3.0,2.55,3.0,3.0,2.5,3.21,2.89,2.63
F1,2020-08-30,Angers,Bordeaux,74,75,72,75,74,74,74,75,38,36,25,25,111.65,105.7,0,2,A,0,2,A,12,7,2,7,12,19,5,7,1,3,0,0,0.51,2.29,0.34,1.96,0.24,2.63,8.32,7.97,2.25,3.1,3.4,2.25,3.1,3.5,2.3,2.95,3.45,2.32,3.13,3.47,2.25,3.1,3.4,2.25,3.0,3.5,2.25,3.05,3.78
F1,2020-08-30,Metz,Monaco,72,77,73,79,72,74,71,75,35,33,24,24,103.5,370.35,0,1,A,0,1,A,14,3,4,2,14,20,10,1,0,5,0,1,0.63,0.19,0.5,0.11,1.76,0.77,8.74,10.37,3.75,3.4,2.0,3.75,3.5,2.0,3.8,3.3,2.05,3.81,3.61,2.02,3.7,3.5,2.0,3.75,3.3,2.0,3.99,3.74,1.93
F1,2020-08-30,Nantes,Nimes,74,72,77,70,73,72,74,72,32,36,25,24,94.75,60.4,2,1,H,2,0,H,8,17,5,9,16,9,4,8,3,2,2,0,2.16,0.87,1.33,0.74,2.36,0.46,16.71,5.96,1.95,3.2,4.2,1.91,3.3,4.5,2.0,3.1,4.2,1.99,3.27,4.42,1.91,3.25,4.33,1.93,3.2,4.2,1.93,3.36,4.58
F1,2020-08-30,Saint-Etienne,Lorient,74,70,71,70,75,69,73,71,43,34,23,26,154.5,72.88,2,0,H,1,0,H,13,6,5,1,14,23,2,5,2,1,0,0,1.39,0.21,0.81,0.14,2.43,0.35,9.13,6.7,2.2,3.2,3.4,2.3,3.2,3.3,2.3,3.05,3.3,2.3,3.28,3.35,2.25,3.3,3.25,2.25,3.13,3.3,2.31,3.24,3.37
F1,2020-08-30,Brest,Marseille,72,78,72,79,71,78,71,78,32,43,25,24,103.23,251.4,2,3,A,1,2,A,19,7,4,4,17,13,10,2,2,4,0,0,2.13,1.32,1.68,1.32,1.99,0.77,6.34,14.33,3.0,3.5,2.0,,,,3.3,3.5,2.15,,,,,,,,,,3.67,3.26,2.23
F1,2020-09-10,Lens,Paris Saint Germain,71,84,71,86,71,82,69,82,36,41,24,24,104.3,805.0,1,0,H,0,0,D,7,8,3,1,21,10,4,2,2,2,0,0,1.72,0.34,1.33,0.24,2.56,0.28,15.37,4.88,5.0,4.0,1.65,5.0,4.0,1.65,4.9,3.9,1.7,4.7,3.99,1.71,5.25,3.9,1.63,4.75,4.1,1.65,4.79,3.6,1.8
F1,2020-09-11,Bordeaux,Lyon,75,78,75,81,74,77,75,77,36,40,25,24,105.7,431.35,0,0,D,0,0,D,5,20,0,3,12,19,4,5,2,3,0,0,0.23,1.8,0.2,1.14,0.26,2.57,15.88,5.15,4.5,3.6,1.83,4.5,3.6,1.83,4.3,3.3,1.95,4.5,3.61,1.88,4.5,3.4,1.83,4.4,3.5,1.83,4.1,3.49,2.01
F1,2020-09-12,Montpellier,Nice,74,75,77,77,74,75,75,75,34,41,25,22,113.85,236.1,3,1,H,1,0,H,20,9,13,1,17,16,8,9,0,2,0,0,1.7,0.38,1.52,0.33,2.41,0.39,11.68,7.26,2.2,3.3,3.4,2.2,3.25,3.5,2.25,3.0,3.4,2.25,3.35,3.52,2.15,3.2,3.5,2.2,3.2,3.4,2.11,3.41,3.91
