Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
F1,2017-08-04,Monaco,Toulouse,80,74,83,75,80,73,78,73,38,28,23,24,529.799999,110.45,3,2,H,1,1,D,17,6,7,3,12,23,8,2,1,3,0,0,2.15,0.25,1.94,0.19,2.71,0.18,2.57,12.6,1.3,5.5,10.0,1.3,5.75,9.75,1.35,4.7,7.9,1.32,5.72,11.12,1.3,5.0,10.0,1.3,5.5,11.0,1.29,5.9,12.75
F1,2017-08-05,Lyon,Strasbourg,77,70,78,68,77,72,77,69,34,31,23,26,363.8,45.6,4,0,H,1,0,H,12,7,7,1,11,16,3,4,2,3,0,0,1.73,0.29,0.42,0.27,2.59,0.25,5.92,16.95,1.36,5.0,8.5,1.36,5.0,8.5,1.4,4.3,7.5,1.4,5.19,8.99,1.4,4.5,8.0,1.36,5.0,9.0,1.34,5.55,10.35
F1,2017-08-05,Metz,Guingamp,71,74,68,76,71,74,71,73,44,30,24,26,51.2,51.9,1,3,A,1,1,D,6,13,4,5,9,13,3,3,1,2,0,0,0.56,1.46,0.54,0.45,0.53,2.19,12.05,15.62,2.8,3.2,2.63,2.8,3.2,2.65,2.65,3.1,2.65,2.95,3.2,2.71,2.7,3.1,2.7,2.88,3.2,2.63,3.01,3.35,2.54
F1,2017-08-05,Montpellier,Caen,74,73,74,74,73,72,74,73,30,33,25,25,71.85,60.1,1,0,H,0,0,D,10,8,2,1,9,11,9,3,2,1,0,0,1.46,0.32,1.4,0.32,2.42,0.37,10.96,11.71,1.91,3.5,4.2,1.83,3.6,4.5,1.85,3.4,4.1,1.88,3.54,4.74,1.91,3.2,4.5,1.9,3.5,4.4,1.83,3.69,4.92
F1,2017-08-05,Paris Saint Germain,Amiens,83,71,86,74,82,71,83,71,35,34,25,27,900.1,69.85,2,0,H,1,0,H,16,7,5,1,9,12,8,3,0,1,0,0,2.25,0.19,1.81,0.18,2.78,0.13,6.74,19.0,1.11,9.0,25.0,1.12,9.25,21.0,1.17,6.5,14.0,1.13,10.7,26.0,1.1,9.0,26.0,1.12,9.5,19.0,1.09,13.0,36.5
F1,2017-08-05,Saint-Etienne,Nice,75,77,75,82,73,77,74,77,40,39,24,23,106.88,204.1,1,0,H,1,0,H,8,6,3,2,11,8,2,7,2,1,0,0,0.94,0.59,0.86,0.57,1.71,0.91,14.39,9.43,2.2,3.2,3.5,2.25,3.2,3.4,2.3,3.1,3.1,2.28,3.17,3.69,2.3,3.2,3.2,2.25,3.2,3.5,2.46,3.23,3.29
F1,2017-08-05,Troyes,Rennes,70,74,70,73,70,72,68,75,30,35,26,24,45.05,131.25,1,1,D,0,0,D,11,16,4,4,13,8,6,7,1,0,0,0,1.34,1.87,0.99,1.71,0.98,1.77,14.52,5.52,2.6,3.1,2.9,2.7,3.2,2.75,2.5,3.1,2.8,2.8,3.16,2.9,2.7,3.0,2.8,2.7,3.1,2.88,3.08,3.16,2.6
F1,2017-08-06,Angers,Bordeaux,74,75,74,76,74,75,73,75,33,37,26,24,69.55,155.45,2,2,D,1,1,D,9,7,5,4,16,15,0,5,3,2,0,0,1.11,1.78,0.55,1.78,0.8,1.93,11.96,8.39,2.5,3.1,3.1,2.55,3.1,2.95,2.5,3.1,2.8,2.63,3.06,3.14,2.62,3.0,2.9,2.6,3.1,3.0,2.5,3.14,3.31
F1,2017-08-06,Lille,Nantes,75,74,74,74,73,73,73,75,32,36,22,24,96.75,105.7,3,0,H,0,0,D,14,9,5,4,11,17,15,3,2,3,0,0,1.91,1.08,0.99,0.51,2.04,0.71,4.44,8.42,2.0,3.2,4.1,2.05,3.25,4.0,2.3,3.1,3.1,2.09,3.29,4.2,2.15,3.0,3.8,2.1,3.25,4.0,2.15,3.27,4.01
F1,2017-08-06,Marseille,Dijon,78,71,80,71,77,71,77,70,29,35,26,25,236.8,70.3,3,0,H,0,0,D,18,12,5,1,7,10,7,3,1,0,0,0,2.41,0.59,1.41,0.4,2.58,0.29,16.79,10.68,1.4,4.75,8.0,1.4,4.75,8.0,1.45,4.0,7.0,1.4,5.19,8.88,1.4,4.5,8.0,1.4,4.8,7.5,1.31,5.8,11.5
