Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
F1,2016-08-12,Bastia,Paris Saint Germain,72,84,72,83,70,84,72,83,37,39,25,24,36.45,519.0,0,1,A,0.0,0.0,D,10.0,9.0,0.0,6.0,15.0,16.0,2.0,6.0,3.0,3.0,0.0,0.0,0.83,0.66,0.58,0.26,1.47,1.15,12.67,4.12,13.0,4.75,1.29,11.0,5.0,1.33,7.5,4.3,1.4,11.39,5.14,1.36,10.0,4.75,1.33,11.0,5.0,1.33,12.13,5.29,1.34
F1,2016-08-12,Monaco,Guingamp,78,74,79,74,78,73,78,73,47,35,23,26,309.55,42.5,2,2,D,0.0,2.0,A,18.0,9.0,4.0,5.0,14.0,15.0,8.0,2.0,3.0,4.0,0.0,0.0,2.5,0.7,1.53,0.49,2.62,0.25,2.61,12.29,1.62,3.8,5.25,1.65,3.75,5.5,1.7,3.4,5.0,1.68,3.81,6.11,1.67,3.6,5.5,1.67,3.75,5.75,1.71,3.75,5.87
F1,2016-08-13,Bordeaux,Saint-Etienne,75,76,78,75,75,75,74,77,36,42,24,24,88.9,85.03,3,2,H,1.0,0.0,H,10.0,14.0,6.0,5.0,9.0,20.0,3.0,6.0,1.0,2.0,0.0,0.0,1.17,1.5,1.06,1.43,1.09,1.62,11.5,5.03,2.5,3.1,3.1,2.4,3.0,3.1,2.4,3.15,2.9,2.52,3.06,3.29,2.5,3.0,3.1,2.45,3.1,3.2,2.39,3.04,3.66
F1,2016-08-13,Caen,Lorient,73,74,74,74,73,74,73,73,36,41,26,25,36.65,61.1,3,2,H,2.0,2.0,D,15.0,8.0,6.0,2.0,13.0,9.0,10.0,2.0,1.0,2.0,0.0,1.0,2.27,1.99,1.96,1.19,1.56,1.18,8.96,12.67,2.2,3.25,3.5,2.1,3.2,3.5,2.1,3.15,3.45,2.19,3.38,3.66,2.2,3.1,3.5,2.15,3.4,3.6,2.39,3.19,3.47
F1,2016-08-13,Dijon,Nantes,71,73,69,72,72,72,70,73,33,30,26,24,31.2,50.9,0,1,A,0.0,0.0,D,6.0,10.0,2.0,3.0,6.0,11.0,3.0,4.0,0.0,2.0,0.0,0.0,0.29,1.32,0.2,1.26,0.44,2.32,10.63,9.69,2.5,3.1,3.1,2.45,3.0,3.0,2.6,3.1,2.7,2.56,3.09,3.21,2.62,2.9,3.0,2.5,3.0,3.3,2.57,3.04,3.31
F1,2016-08-13,Metz,Lille,70,76,75,77,70,75,70,75,39,46,24,24,37.55,83.9,3,2,H,0.0,1.0,A,7.0,13.0,3.0,4.0,13.0,9.0,4.0,5.0,2.0,2.0,0.0,0.0,2.32,1.88,0.75,1.81,1.73,1.0,11.67,15.21,3.4,3.2,2.2,3.3,3.0,2.3,3.3,3.1,2.2,3.65,3.07,2.35,3.4,3.0,2.3,3.6,3.1,2.3,3.75,3.14,2.3
F1,2016-08-13,Montpellier,Angers,73,73,71,70,74,74,73,73,35,36,25,26,60.95,46.08,1,0,H,1.0,0.0,H,14.0,12.0,3.0,2.0,9.0,12.0,7.0,2.0,1.0,2.0,0.0,0.0,0.88,0.49,0.72,0.4,1.7,0.93,7.72,9.58,2.1,3.1,4.0,2.05,3.1,3.9,2.0,3.2,3.75,2.09,3.17,4.32,2.1,3.0,4.0,2.1,3.1,4.1,1.9,3.28,5.26
F1,2016-08-14,Marseille,Toulouse,75,73,78,74,77,73,74,72,33,38,25,23,119.65,77.3,0,0,D,0.0,0.0,D,10.0,6.0,2.0,2.0,14.0,12.0,9.0,6.0,3.0,1.0,0.0,0.0,0.37,0.25,0.32,0.24,1.36,1.06,5.18,6.93,2.0,3.3,4.0,2.0,3.25,3.8,2.1,3.15,3.45,2.03,3.37,4.22,2.0,3.2,4.0,2.0,3.4,4.1,2.1,3.3,4.16
F1,2016-08-14,Nancy,Lyon,70,79,71,80,69,78,71,79,30,34,26,23,33.1,211.35,0,3,A,0.0,2.0,A,11.0,9.0,1.0,7.0,18.0,14.0,4.0,4.0,4.0,2.0,0.0,0.0,0.38,2.32,0.24,1.89,0.19,2.71,6.6,7.36,3.5,3.3,2.15,3.3,3.2,2.2,3.45,3.15,2.1,3.66,3.44,2.17,3.5,3.2,2.15,3.6,3.3,2.15,2.98,3.29,2.63
F1,2016-08-14,Nice,Rennes,75,76,74,77,76,76,76,75,39,43,23,25,132.8,80.9,1,0,H,0.0,0.0,D,7.0,19.0,1.0,4.0,12.0,9.0,4.0,8.0,0.0,1.0,0.0,0.0,0.7,1.17,0.5,0.89,0.92,1.77,11.42,11.03,2.38,3.1,3.25,2.45,3.0,3.0,2.3,3.1,3.1,2.51,3.18,3.2,2.4,3.0,3.2,2.45,3.13,3.2,2.45,3.15,3.39
