Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
D1,2014-08-22,Bayern Munich,Wolfsburg,85,77,87,77,86,78,82,77,33,30,25,26,575.13,221.05,2,1,H,1,0,H,17,9,10,4,5,9,9,3,0,2,0,0,2.57,1.2,2.48,0.77,2.35,0.47,9.63,21.85,1.25,6.0,10.0,1.26,5.75,10.0,1.28,5.5,8.5,1.28,6.47,12.0,1.2,7.0,12.0,1.29,6.0,12.0,1.29,6.67,10.58
D1,2014-08-23,Borussia Dortmund,Bayer Leverkusen,81,77,79,79,80,77,82,76,37,26,24,24,319.5,177.35,0,2,A,0,1,A,11,11,4,2,13,28,8,4,1,2,0,0,0.48,1.15,0.21,1.0,0.74,1.95,3.33,5.8,1.57,4.33,5.0,1.62,4.0,5.0,1.55,4.3,5.0,1.63,4.39,5.56,1.62,4.2,5.0,1.65,4.0,6.0,1.75,4.18,4.77
D1,2014-08-23,Eintracht Frankfurt,Freiburg,74,72,75,71,74,73,74,71,30,30,25,25,74.9,57.4,1,0,H,1,0,H,10,13,3,7,17,22,6,5,1,3,0,0,1.75,1.38,1.03,1.01,1.65,1.1,10.52,3.47,2.05,3.4,3.6,2.05,3.4,3.5,2.0,3.4,3.5,2.04,3.63,3.93,2.1,3.3,3.5,2.05,3.5,4.0,2.01,3.74,3.92
D1,2014-08-23,FC Cologne,Hamburger SV,72,76,74,76,71,76,71,74,27,38,25,25,50.75,87.15,0,0,D,0,0,D,10,19,3,4,23,16,3,6,2,2,0,0,0.52,0.91,0.39,0.77,0.94,1.7,13.08,7.07,2.0,3.5,3.6,2.05,3.5,3.4,2.1,3.3,3.3,2.04,3.67,3.89,2.05,3.6,3.4,2.05,3.6,3.8,2.06,3.62,3.86
D1,2014-08-23,Hannover 96,Schalke 04,74,78,74,84,74,77,72,77,35,36,25,24,76.65,212.0,2,1,H,0,0,D,8,12,3,5,12,15,2,4,2,1,0,0,1.18,0.96,0.99,0.82,1.57,1.12,9.64,6.06,2.9,3.5,2.3,2.85,3.5,2.3,2.85,3.4,2.3,3.15,3.58,2.37,3.2,3.2,2.3,3.2,3.5,2.38,3.1,3.6,2.37
D1,2014-08-23,Hertha Berlin,Werder Bremen,74,73,74,73,74,72,74,73,30,36,26,23,66.0,67.53,2,2,D,1,0,H,19,9,5,5,17,18,9,5,1,2,0,0,1.76,1.19,0.71,0.77,1.83,0.85,5.69,9.87,1.95,3.5,3.75,1.95,3.6,3.6,2.0,3.3,3.6,1.97,3.67,4.16,1.95,3.5,3.8,2.0,3.5,4.1,2.01,3.53,4.18
D1,2014-08-23,Hoffenheim,Augsburg,75,73,76,72,76,71,72,72,30,35,24,25,121.78,50.08,2,0,H,2,0,H,10,12,3,2,19,15,7,3,2,3,0,0,1.53,0.28,0.78,0.15,2.51,0.31,6.59,5.74,1.91,3.6,3.8,1.95,3.5,3.7,2.0,3.4,3.5,1.96,3.83,4.02,1.95,3.5,3.8,2.0,3.75,3.75,1.98,3.76,4.01
D1,2014-08-24,Borussia M.Gladbach,VfB Stuttgart,76,75,78,76,74,75,74,72,27,30,25,24,130.63,86.95,1,1,D,0,0,D,19,7,6,3,8,16,6,3,2,1,0,0,2.41,0.43,1.72,0.32,2.69,0.2,14.11,14.5,1.95,3.5,3.75,1.95,3.5,3.7,1.9,3.45,3.8,1.94,3.73,4.22,1.95,3.5,3.8,1.95,3.6,4.2,1.98,3.75,4.0
D1,2014-08-24,Paderborn,Mainz 05,68,73,68,77,67,74,67,72,28,36,26,24,28.5,88.0,2,2,D,1,1,D,10,14,3,4,16,14,4,3,2,2,0,0,0.35,1.84,0.22,0.35,0.24,2.62,7.28,8.15,3.1,3.4,2.25,2.85,3.4,2.35,2.75,3.3,2.4,3.15,3.43,2.43,3.1,3.1,2.4,3.0,3.5,2.45,3.39,3.51,2.28
D1,2014-08-29,Augsburg,Borussia Dortmund,73,81,72,79,71,80,72,82,35,37,25,24,50.08,319.5,2,3,A,0,2,A,12,22,3,9,9,12,3,6,2,3,0,0,1.0,2.3,0.79,1.46,0.55,2.26,9.04,13.81,4.5,3.75,1.73,4.75,3.9,1.72,4.3,3.8,1.7,5.11,4.0,1.74,4.6,3.8,1.73,4.8,3.9,1.73,5.76,4.12,1.65
