Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
D1,2021-08-13,Borussia M.Gladbach,Bayern Munich,79,83,79,92,78,84,79,81,31,38,25,24,236.8,790.33,1,1,D,1,1,D,11,20,5,10,7,4,3,8,2,0,0,0,1.99,2.92,1.84,2.61,0.81,1.99,11.06,8.56,4.33,4.5,1.66,4.5,4.33,1.67,4.2,4.4,1.7,4.73,4.39,1.71,4.4,4.5,1.63,4.33,4.5,1.67,4.53,4.31,1.75
D1,2021-08-14,Augsburg,Hoffenheim,74,76,73,77,74,76,74,75,32,40,25,24,95.3,211.43,0,4,A,0,1,A,7,15,0,8,8,9,6,5,1,2,0,0,0.73,3.44,0.67,2.77,0.09,2.87,19.85,10.3,3.2,3.75,2.1,3.25,3.5,2.1,3.1,3.7,2.2,3.2,3.83,2.23,3.2,3.5,2.15,3.0,3.75,2.15,3.29,3.66,2.25
D1,2021-08-14,Arminia Bielefeld,Freiburg,72,74,71,76,71,75,71,73,34,32,24,25,65.849999,176.35,0,0,D,0,0,D,10,14,4,6,13,10,4,9,3,4,0,0,0.58,1.64,0.19,1.44,0.52,2.25,9.42,8.45,2.8,3.4,2.5,2.75,3.2,2.55,2.95,3.25,2.5,3.04,3.33,2.54,2.88,3.2,2.5,2.8,3.4,2.45,3.1,3.26,2.54
D1,2021-08-14,VfB Stuttgart,Greuther Fuerth,74,69,73,71,73,69,74,69,39,34,23,24,174.23,36.95,5,1,H,2,0,H,30,8,15,4,11,8,9,2,0,1,0,0,4.26,1.31,4.15,0.88,2.77,0.16,10.74,25.31,1.83,4.0,4.0,1.83,3.9,4.1,1.85,3.9,3.9,1.9,3.93,4.13,1.8,3.9,4.0,1.83,3.9,3.9,1.85,3.87,4.45
D1,2021-08-14,Union Berlin,Bayer Leverkusen,74,78,74,78,74,78,74,76,40,35,26,24,115.9,455.05,1,1,D,1,1,D,8,16,5,4,13,5,1,6,0,1,0,0,0.44,0.79,0.44,0.59,0.98,1.62,18.21,7.17,2.75,3.4,2.55,2.75,3.4,2.55,2.75,3.35,2.55,2.83,3.44,2.65,2.8,3.2,2.55,2.7,3.4,2.55,2.74,3.25,2.86
D1,2021-08-14,Wolfsburg,Bochum,78,72,83,73,78,71,77,72,37,33,25,27,269.3,52.25,1,0,H,1,0,H,21,7,9,1,9,7,5,2,0,2,0,1,2.79,0.3,1.57,0.28,2.85,0.09,9.76,27.18,1.53,4.5,5.75,1.53,4.5,5.75,1.57,4.4,5.5,1.59,4.41,5.92,1.57,4.2,5.5,1.55,4.5,5.25,1.46,4.85,7.39
D1,2021-08-14,Borussia Dortmund,Eintracht Frankfurt,81,77,84,76,81,77,81,76,44,36,23,25,558.98,228.75,5,2,H,3,1,H,12,12,7,3,5,14,7,3,0,0,0,0,2.84,1.37,2.14,1.26,2.32,0.51,15.64,13.26,1.4,5.5,6.5,1.45,5.0,6.25,1.43,5.25,6.25,1.45,5.24,6.8,1.42,5.0,6.5,1.4,5.25,6.5,1.47,5.12,6.61
D1,2021-08-15,Mainz 05,RB Leipzig,73,80,71,84,74,81,74,79,34,34,24,23,131.03,498.95,1,0,H,1,0,H,7,15,2,2,10,8,5,11,1,2,0,0,1.27,0.84,0.29,0.7,1.84,0.85,16.72,4.61,8.0,5.5,1.33,8.0,5.5,1.34,8.25,5.5,1.35,8.09,5.66,1.38,9.0,5.0,1.33,8.5,5.5,1.33,7.54,4.98,1.44
D1,2021-08-15,FC Cologne,Hertha Berlin,73,76,72,74,75,77,71,74,31,45,25,24,99.28,155.73,3,1,H,1,1,D,15,11,5,5,18,14,4,5,4,2,0,0,1.63,2.11,1.05,1.98,0.95,1.79,5.15,14.24,2.55,3.4,2.75,2.55,3.4,2.75,2.55,3.3,2.8,2.62,3.41,2.88,2.55,3.2,2.8,2.5,3.4,2.75,2.4,3.44,3.18
D1,2021-08-20,RB Leipzig,VfB Stuttgart,80,74,84,73,81,73,79,74,34,39,23,23,498.95,174.23,4,0,H,1,0,H,26,11,11,5,10,11,6,2,0,3,0,0,2.87,0.96,1.73,0.8,2.6,0.28,9.32,9.86,1.36,5.25,7.0,1.4,5.0,7.25,1.5,4.8,5.75,1.43,5.07,7.61,1.4,4.75,7.5,1.4,5.0,7.5,1.51,4.73,6.69
D1,2021-08-21,Bochum,Mainz 05,72,73,73,71,71,74,72,74,33,34,27,24,52.25,131.03,2,0,H,1,0,H,9,16,5,3,15,19,2,7,4,3,0,0,1.05,0.82,0.79,0.62,1.55,1.11,15.31,7.91,2.62,3.5,2.62,2.6,3.5,2.6,2.65,3.5,2.55,2.74,3.59,2.64,2.62,3.5,2.55,2.7,3.5,2.55,3.18,3.46,2.39
D1,2021-08-21,Eintracht Frankfurt,Augsburg,77,74,76,73,77,74,76,74,36,32,25,25,228.75,95.3,0,0,D,0,0,D,20,4,5,0,8,10,6,1,3,3,0,0,1.33,0.17,0.99,0.05,2.34,0.39,4.76,13.56,1.57,4.5,5.25,1.62,4.25,5.0,1.6,4.4,5.0,1.65,4.48,5.16,1.6,4.2,5.0,1.57,4.5,5.25,1.66,4.37,5.16
D1,2021-08-21,Freiburg,Borussia Dortmund,74,81,76,84,75,81,73,81,32,44,25,23,176.35,558.98,2,1,H,1,0,H,8,19,4,2,14,14,0,10,1,4,0,0,1.58,1.5,1.47,1.48,1.44,1.28,20.24,6.31,5.5,4.75,1.5,5.5,4.5,1.55,5.5,4.6,1.55,5.67,4.73,1.57,5.5,4.4,1.53,5.25,4.75,1.53,4.49,4.15,1.79
D1,2021-08-21,Greuther Fuerth,Arminia Bielefeld,69,72,71,71,69,71,69,71,34,34,24,24,36.95,65.849999,1,1,D,0,1,A,20,9,5,2,12,15,5,0,4,2,0,1,2.58,0.76,1.31,0.59,2.59,0.28,7.35,15.52,2.55,3.4,2.7,2.55,3.4,2.75,2.55,3.35,2.75,2.62,3.5,2.82,2.6,3.3,2.7,2.55,3.4,2.75,2.65,3.51,2.79
D1,2021-08-21,Hertha Berlin,Wolfsburg,76,78,74,83,77,78,74,77,45,37,24,25,155.73,269.3,1,2,A,0,0,D,12,12,4,3,12,21,4,4,1,2,0,0,1.17,0.56,0.19,0.53,2.0,0.7,15.14,7.14,3.0,3.4,2.37,2.95,3.5,2.35,3.05,3.45,2.3,3.21,3.51,2.35,3.1,3.3,2.3,3.0,3.5,2.3,3.41,3.55,2.24
D1,2021-08-21,Bayer Leverkusen,Borussia M.Gladbach,78,79,78,79,78,78,76,79,35,31,24,25,455.05,236.8,4,0,H,2,0,H,13,11,6,6,9,11,7,3,4,2,0,0,1.95,1.66,1.63,0.85,1.56,1.17,13.33,9.69,2.2,3.75,3.0,2.25,3.7,3.0,2.35,3.55,2.95,2.39,3.71,3.0,2.3,3.6,2.9,2.3,3.7,2.8,2.23,3.69,3.3
D1,2021-08-22,Hoffenheim,Union Berlin,76,74,77,74,76,74,75,74,40,40,24,26,211.43,115.9,2,2,D,2,1,H,7,11,3,8,8,11,6,5,1,3,0,1,0.97,2.35,0.95,1.42,0.42,2.41,8.7,19.74,2.0,3.6,3.6,2.0,3.6,3.7,2.0,3.65,3.55,2.06,3.7,3.75,2.05,3.4,3.6,2.05,3.6,3.4,1.85,3.81,4.49
D1,2021-08-22,Bayern Munich,FC Cologne,83,73,92,72,84,75,81,71,38,31,24,25,790.33,99.28,3,2,H,0,0,D,18,10,6,3,14,10,3,4,1,1,0,0,3.08,0.96,1.59,0.89,2.67,0.22,9.0,9.61,1.11,11.0,16.0,1.12,9.75,18.5,1.15,8.75,17.0,1.13,9.87,23.59,1.12,8.5,21.0,1.12,9.0,18.0,1.13,10.75,23.5
D1,2021-08-27,Borussia Dortmund,Hoffenheim,81,76,84,77,81,76,81,75,44,40,23,24,558.98,211.43,3,2,H,0,0,D,23,9,13,5,9,12,4,7,2,3,0,0,3.41,2.42,2.5,1.94,1.98,0.82,7.68,11.88,1.4,5.5,6.5,1.42,5.0,6.75,1.45,5.25,6.0,1.47,5.3,6.5,1.42,5.0,6.5,1.4,5.25,6.5,1.4,6.0,6.9
D1,2021-08-28,Augsburg,Bayer Leverkusen,74,78,73,78,74,78,74,76,32,35,25,24,95.3,455.05,1,4,A,1,2,A,13,13,4,5,12,10,4,4,0,1,0,0,1.69,2.12,0.75,1.97,1.09,1.66,10.88,8.71,4.75,3.8,1.72,4.5,3.9,1.75,4.7,3.85,1.73,5.08,3.9,1.75,4.75,3.75,1.72,4.5,3.9,1.73,4.98,4.13,1.72
D1,2021-08-28,Arminia Bielefeld,Eintracht Frankfurt,72,77,71,76,71,77,71,76,34,36,24,25,65.849999,228.75,1,1,D,0,1,A,14,12,5,3,13,17,4,4,0,3,0,0,0.63,1.79,0.41,1.33,0.49,2.3,19.32,6.36,3.3,3.6,2.1,3.4,3.8,2.05,3.4,3.6,2.1,3.52,3.7,2.13,3.4,3.5,2.1,3.3,3.7,2.05,3.47,3.6,2.19
D1,2021-08-28,FC Cologne,Bochum,73,72,72,73,75,71,71,72,31,33,25,27,99.28,52.25,2,1,H,0,0,D,21,10,5,1,11,21,5,5,2,1,0,0,2.91,0.72,2.74,0.45,2.71,0.2,3.65,16.06,1.83,3.75,4.2,1.85,3.75,4.1,1.85,3.75,4.0,1.89,3.83,4.28,1.85,3.5,4.2,1.85,3.75,3.9,1.78,3.98,4.78
D1,2021-08-28,Mainz 05,Greuther Fuerth,73,69,71,71,74,69,74,69,34,34,24,24,131.03,36.95,3,0,H,2,0,H,17,8,9,1,21,14,7,4,2,2,0,0,2.79,0.3,1.66,0.29,2.84,0.1,6.15,10.0,1.66,4.0,5.0,1.7,4.0,4.75,1.7,4.0,4.7,1.74,4.04,5.01,1.7,3.8,4.75,1.7,4.0,4.6,1.57,4.44,6.11
D1,2021-08-28,VfB Stuttgart,Freiburg,74,74,73,76,73,75,74,73,39,32,23,25,174.23,176.35,2,3,A,2,3,A,17,14,7,7,10,14,8,5,2,1,0,0,2.28,1.36,1.99,1.2,2.06,0.72,7.15,14.09,2.15,3.6,3.2,2.15,3.6,3.3,2.25,3.45,3.2,2.28,3.54,3.32,2.2,3.4,3.25,2.2,3.6,3.1,2.14,3.69,3.52
D1,2021-08-28,Bayern Munich,Hertha Berlin,83,76,92,74,84,77,81,74,38,45,24,24,790.33,155.73,5,0,H,2,0,H,17,8,6,3,4,5,8,3,0,0,0,0,4.26,0.58,3.62,0.32,2.95,0.03,8.81,22.44,1.14,9.0,15.0,1.19,7.75,13.0,1.17,8.25,14.0,1.19,7.84,15.93,1.16,7.5,15.0,1.15,8.0,15.0,1.17,8.75,18.51
D1,2021-08-29,Union Berlin,Borussia M.Gladbach,74,79,74,79,74,78,74,79,40,31,26,25,115.9,236.8,2,1,H,2,0,H,12,18,4,5,15,6,4,8,2,0,0,0,1.56,1.53,1.4,0.66,1.4,1.31,15.55,5.26,2.45,3.25,2.9,2.6,3.25,2.8,2.55,3.3,2.8,2.62,3.36,2.93,2.55,3.2,2.8,2.5,3.4,2.75,2.61,3.41,2.9
D1,2021-08-29,Wolfsburg,RB Leipzig,78,80,83,84,78,81,77,79,37,34,25,23,269.3,498.95,1,0,H,0,0,D,8,12,2,2,13,18,7,7,4,2,0,0,1.11,1.44,0.17,0.71,1.02,1.67,11.55,6.23,3.6,3.5,2.05,3.4,3.6,2.1,3.45,3.5,2.1,3.57,3.61,2.15,3.5,3.5,2.05,3.3,3.6,2.1,3.32,3.52,2.29
D1,2021-09-11,Freiburg,FC Cologne,74,73,76,72,75,75,73,71,32,31,25,25,176.35,99.28,1,1,D,0,1,A,10,15,3,5,14,12,4,2,1,3,0,1,0.87,1.5,0.78,1.43,0.82,1.89,8.08,11.74,2.2,3.6,3.1,2.15,3.5,3.1,2.15,3.7,3.25,2.15,3.82,3.37,2.1,3.6,3.25,2.1,3.75,3.13,2.29,3.59,3.26
D1,2021-09-11,Greuther Fuerth,Wolfsburg,69,78,71,83,69,78,69,77,34,37,24,25,36.95,269.3,0,2,A,0,1,A,7,10,3,4,17,15,3,5,2,3,0,0,0.39,1.44,0.23,0.64,0.41,2.37,9.65,5.88,5.5,4.33,1.57,5.25,4.1,1.57,5.5,4.4,1.57,5.8,4.45,1.59,5.5,4.0,1.6,5.25,4.33,1.57,4.47,4.31,1.76
D1,2021-09-11,Hoffenheim,Mainz 05,76,73,77,71,76,74,75,74,40,34,24,24,211.43,131.03,0,2,A,0,1,A,12,11,0,4,15,16,4,5,2,1,0,0,0.51,0.93,0.39,0.78,0.93,1.71,6.63,17.67,2.0,3.75,3.5,2.0,3.6,3.4,2.0,3.8,3.4,2.06,3.91,3.54,2.0,3.7,3.4,2.0,3.9,3.3,2.26,3.67,3.25
D1,2021-09-11,Bayer Leverkusen,Borussia Dortmund,78,81,78,84,78,81,76,81,35,44,24,23,455.05,558.98,3,4,A,2,1,H,11,15,5,7,10,11,4,3,4,3,0,0,0.47,2.29,0.34,1.4,0.22,2.66,19.88,9.12,3.1,3.8,2.15,3.2,3.6,2.1,3.15,3.7,2.15,3.15,3.98,2.2,3.1,3.7,2.15,2.9,4.0,2.15,3.06,3.86,2.29
D1,2021-09-11,Union Berlin,Augsburg,74,74,74,73,74,74,74,74,40,32,26,25,115.9,95.3,0,0,D,0,0,D,15,13,6,6,10,12,6,4,1,2,0,0,1.72,0.83,1.48,0.76,2.12,0.64,9.26,17.94,1.7,3.75,5.0,1.75,3.75,4.4,1.73,3.9,4.7,1.74,4.09,4.89,1.7,3.8,4.75,1.7,3.9,4.6,1.68,4.09,5.41
D1,2021-09-11,RB Leipzig,Bayern Munich,80,83,84,92,81,84,79,81,34,38,23,24,498.95,790.33,1,4,A,0,1,A,10,18,4,6,9,13,2,6,0,0,0,0,0.35,4.3,0.2,3.06,0.01,2.99,9.68,11.95,3.0,3.8,2.2,2.75,3.8,2.25,3.0,3.8,2.2,3.08,4.05,2.22,2.9,3.7,2.25,2.88,4.0,2.15,3.03,4.22,2.19
D1,2021-09-12,Eintracht Frankfurt,VfB Stuttgart,77,74,76,73,77,73,76,74,36,39,25,23,228.75,174.23,1,1,D,0,0,D,18,9,5,3,13,12,6,6,1,4,0,1,1.47,1.24,1.24,0.66,1.54,1.17,4.87,16.06,2.0,3.75,3.5,2.0,3.6,3.4,2.05,3.85,3.3,2.07,3.85,3.57,2.05,3.6,3.4,2.05,3.8,3.3,2.09,3.93,3.45
