Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
D1,2015-08-14,Bayern Munich,Hamburger SV,85,75,86,75,85,73,83,75,34,35,25,25,596.05,63.2,5,0,H,1,0,H,23,5,9,1,10,12,7,0,2,2,0,0,3.23,0.15,2.64,0.14,2.94,0.03,4.14,21.57,1.08,11.0,29.0,1.1,9.0,23.0,1.15,7.0,15.0,1.09,12.87,35.46,1.08,10.0,26.0,1.1,12.0,31.0,1.1,12.57,30.92
D1,2015-08-15,Augsburg,Hertha Berlin,74,75,77,76,74,74,74,75,39,34,25,25,75.93,78.93,0,1,A,0,0,D,20,11,3,4,20,22,7,4,1,2,1,1,1.15,1.23,0.7,0.31,1.22,1.47,9.73,10.5,2.0,3.4,3.9,2.0,3.3,3.75,2.0,3.3,3.6,2.04,3.43,4.2,2.1,3.3,3.5,2.05,3.4,4.1,2.13,3.43,3.87
D1,2015-08-15,Darmstadt,Hannover 96,70,75,69,74,68,75,72,74,30,39,27,24,25.15,60.83,2,2,D,1,0,H,11,14,4,5,21,22,5,9,1,2,0,0,1.81,1.86,1.21,1.07,1.32,1.4,6.81,4.88,2.5,3.3,2.9,2.5,3.25,2.75,2.5,3.3,2.65,2.56,3.35,3.02,2.5,3.2,2.9,2.55,3.4,3.0,2.7,3.28,2.9
D1,2015-08-15,Borussia Dortmund,Borussia M.Gladbach,81,78,82,79,79,78,81,77,30,29,24,25,352.95,186.15,4,0,H,3,0,H,17,5,7,1,13,14,3,5,0,1,0,0,2.42,0.19,2.24,0.06,2.84,0.09,11.46,20.26,1.73,3.75,5.0,1.75,3.75,4.25,1.8,3.5,4.2,1.73,4.0,5.21,1.75,3.5,5.0,1.75,4.0,5.0,1.63,4.24,5.85
D1,2015-08-15,Bayer Leverkusen,Hoffenheim,78,76,80,78,77,75,76,76,33,30,24,24,241.3,90.2,2,1,H,1,1,D,25,6,9,2,12,18,13,5,1,0,0,0,3.53,0.48,2.9,0.47,2.89,0.07,3.34,4.56,1.5,4.33,6.5,1.5,4.4,5.75,1.45,4.0,7.0,1.52,4.7,6.76,1.53,4.0,6.5,1.55,4.6,6.25,1.48,4.84,7.28
D1,2015-08-15,Mainz 05,Ingolstadt,74,71,72,69,74,72,75,70,39,29,25,25,85.15,35.65,0,1,A,0,0,D,9,14,3,5,20,15,6,2,2,3,0,0,0.55,0.58,0.21,0.51,1.28,1.29,4.32,12.9,2.05,3.4,3.75,2.05,3.3,3.6,2.0,3.3,3.6,2.03,3.54,4.08,2.1,3.3,3.5,2.05,3.5,3.9,1.97,3.63,4.2
D1,2015-08-15,Werder Bremen,Schalke 04,74,78,75,80,74,77,75,79,39,32,24,24,64.68,225.2,0,3,A,0,1,A,15,16,2,5,7,16,5,6,0,2,0,0,0.91,1.45,0.33,1.39,0.93,1.79,8.81,8.03,3.0,3.4,2.38,2.9,3.3,2.35,2.75,3.3,2.4,3.1,3.62,2.37,3.1,3.1,2.4,3.0,3.6,2.38,3.22,3.74,2.26
D1,2015-08-16,VfB Stuttgart,FC Cologne,75,74,77,73,75,75,73,74,34,25,24,25,81.18,68.63,1,3,A,0,0,D,28,9,8,5,13,8,13,3,3,2,0,0,2.99,1.85,1.51,1.02,2.14,0.65,5.93,14.2,2.05,3.3,3.8,2.05,3.25,3.7,2.1,3.3,3.3,2.06,3.54,3.96,2.1,3.3,3.5,2.05,3.6,3.8,2.07,3.67,3.77
D1,2015-08-16,Wolfsburg,Eintracht Frankfurt,80,75,79,76,79,74,78,75,35,35,25,24,270.43,76.6,2,1,H,2,1,H,5,13,3,6,14,19,7,3,1,1,0,0,0.74,0.95,0.18,0.83,1.15,1.49,7.67,11.24,1.44,4.75,7.0,1.5,4.0,6.5,1.45,4.0,7.0,1.48,5.0,6.95,1.5,4.0,7.0,1.5,5.0,6.5,1.44,5.27,7.29
D1,2015-08-21,Hertha Berlin,Werder Bremen,75,74,76,75,74,74,75,75,34,39,25,24,78.93,64.68,1,1,D,1,1,D,10,9,2,3,11,16,6,2,0,1,0,0,0.49,0.96,0.28,0.92,0.78,1.88,8.91,6.81,2.05,3.5,3.6,2.1,3.3,3.4,2.1,3.3,3.3,2.11,3.49,3.86,2.05,3.4,3.6,2.1,3.5,3.7,2.1,3.54,3.82
D1,2015-08-22,Eintracht Frankfurt,Augsburg,75,74,76,77,74,74,75,74,35,39,24,25,76.6,75.93,1,1,D,0,1,A,11,14,3,4,17,21,7,4,2,3,0,0,0.95,1.26,0.82,0.81,1.1,1.58,5.87,6.24,2.25,3.4,3.25,2.25,3.4,3.0,2.2,3.3,3.1,2.23,3.55,3.44,2.25,3.2,3.3,2.2,3.6,3.3,2.3,3.52,3.33
D1,2015-08-22,FC Cologne,Wolfsburg,74,80,73,79,75,79,74,78,25,35,25,25,68.63,270.43,1,1,D,1,0,H,9,15,6,7,15,11,2,4,2,1,0,0,1.38,2.14,1.36,0.94,0.8,1.96,14.74,4.77,4.2,3.8,1.83,3.9,3.6,1.87,3.8,3.45,1.9,4.4,3.77,1.89,4.2,3.5,1.85,4.2,3.8,1.91,3.45,3.67,2.19
D1,2015-08-22,Hamburger SV,VfB Stuttgart,75,75,75,77,73,75,75,73,35,34,25,24,63.2,81.18,3,2,H,1,2,A,14,12,5,4,18,22,0,5,3,3,0,1,1.32,1.9,0.94,1.81,0.91,1.84,5.48,3.7,2.88,3.5,2.4,2.8,3.3,2.45,2.55,3.4,2.55,2.99,3.52,2.49,2.9,3.2,2.5,2.9,3.6,2.45,2.87,3.58,2.55
D1,2015-08-22,Hannover 96,Bayer Leverkusen,75,78,74,80,75,77,74,76,39,33,24,24,60.83,241.3,0,1,A,0,1,A,6,11,3,4,15,21,3,8,0,0,0,0,0.1,1.37,0.06,1.27,0.25,2.56,16.5,3.79,4.2,3.75,1.83,4.0,3.6,1.85,3.75,3.5,1.9,4.65,3.88,1.83,4.2,3.5,1.85,4.5,3.8,1.85,4.65,3.85,1.83
D1,2015-08-22,Hoffenheim,Bayern Munich,76,85,78,86,75,85,76,83,30,34,24,25,90.2,596.05,1,2,A,1,1,D,2,5,1,2,7,2,1,2,0,0,0,0,1.3,2.54,0.14,1.87,0.56,2.24,14.04,4.23,9.5,6.0,1.25,9.0,5.25,1.33,8.0,5.0,1.33,10.19,6.23,1.31,9.0,5.5,1.3,11.0,6.0,1.3,14.58,7.11,1.23
D1,2015-08-22,Schalke 04,Darmstadt,78,70,80,69,77,68,79,72,32,30,24,27,225.2,25.15,1,1,D,0,1,A,21,9,5,3,16,18,6,6,1,2,0,0,1.06,0.79,0.81,0.73,1.55,1.12,2.47,18.4,1.44,4.5,7.5,1.45,4.33,6.75,1.45,4.0,7.0,1.45,4.91,7.93,1.44,4.2,8.0,1.45,4.8,7.0,1.5,4.59,7.5
D1,2015-08-23,Ingolstadt,Borussia Dortmund,71,81,69,82,72,79,70,81,29,30,25,24,35.65,352.95,0,4,A,0,0,D,3,18,2,8,18,16,1,4,2,3,0,0,0.05,3.63,0.04,2.61,0.01,2.98,9.28,4.36,7.0,4.5,1.45,6.25,4.33,1.48,6.1,4.0,1.5,7.27,4.61,1.5,7.0,4.5,1.44,7.0,4.6,1.5,7.15,4.54,1.52
D1,2015-08-23,Borussia M.Gladbach,Mainz 05,78,74,79,72,78,74,77,75,29,39,25,25,186.15,85.15,1,2,A,0,1,A,15,13,6,4,12,12,3,0,2,1,0,0,1.23,2.01,1.23,1.6,0.82,1.96,5.85,15.03,1.67,4.0,5.0,1.7,3.7,4.75,1.65,3.6,5.1,1.71,4.04,5.36,1.7,3.8,4.8,1.73,4.0,5.0,1.81,3.81,4.9
D1,2015-08-28,Wolfsburg,Schalke 04,80,78,79,80,79,77,78,79,35,32,25,24,270.43,225.2,3,0,H,1,0,H,9,12,5,1,12,16,2,3,1,2,0,0,1.53,0.75,0.69,0.63,2.1,0.64,7.81,14.04,2.0,3.8,3.5,2.0,3.3,3.7,2.0,3.3,3.6,2.02,3.8,3.81,1.95,3.8,3.5,2.05,3.8,3.6,2.13,3.71,3.55
D1,2015-08-29,Augsburg,Ingolstadt,74,71,77,69,74,72,74,70,39,29,25,25,75.93,35.65,0,1,A,0,0,D,10,16,2,3,22,16,3,4,3,3,0,0,0.83,1.25,0.66,1.07,1.0,1.68,4.76,15.65,2.0,3.4,3.8,2.0,3.3,3.75,2.0,3.3,3.6,2.01,3.47,4.28,2.0,3.25,4.0,2.05,3.4,4.0,1.84,3.65,4.94
D1,2015-08-29,Bayern Munich,Bayer Leverkusen,85,78,86,80,85,77,83,76,34,33,25,24,596.05,241.3,3,0,H,1,0,H,14,10,6,4,12,14,7,5,2,3,0,0,3.52,0.42,1.92,0.24,2.93,0.04,6.0,8.86,1.33,5.25,9.0,1.3,5.25,9.0,1.33,5.0,8.0,1.35,5.57,10.19,1.33,5.0,9.0,1.33,5.75,9.5,1.38,5.35,9.13
D1,2015-08-29,Darmstadt,Hoffenheim,70,76,69,78,68,75,72,76,30,30,27,24,25.15,90.2,0,0,D,0,0,D,5,15,1,2,13,16,4,6,3,2,0,0,0.29,1.39,0.15,1.2,0.31,2.49,11.0,3.05,3.0,3.3,2.4,2.75,3.3,2.5,2.65,3.3,2.5,3.03,3.49,2.48,2.88,3.3,2.45,2.9,3.5,2.45,3.11,3.46,2.44
D1,2015-08-29,FC Cologne,Hamburger SV,74,75,73,75,75,73,74,75,25,35,25,25,68.63,63.2,2,1,H,0,0,D,6,17,3,7,17,9,3,8,3,2,0,1,1.67,1.44,0.87,1.3,1.57,1.14,6.5,8.89,1.83,3.5,4.5,1.83,3.5,4.2,1.9,3.45,3.8,1.83,3.7,4.93,1.83,3.4,4.5,1.85,3.8,4.5,1.81,3.82,4.88
