Div,Date,HomeTeam,AwayTeam,HTOa,ATOa,HTAt,ATAt,HTMid,ATMid,HTDef,ATDef,HomeSquad,AwaySquad,HomeAvgAge,AwayAvgAge,HomeMV,AwayMV,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,HxG,AxG,HxA,AxA,HxPTS,AxPTS,HPPDA,APPDA,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,PSCH,PSCD,PSCA
D1,2016-08-26,Bayern Munich,Werder Bremen,86,76,86,77,85,75,87,75,33,41,26,25,562.55,89.45,6,0,H,2,0,H,27,4,14,2,7,8,8,1,0,1,0,0,4.53,0.19,3.04,0.17,2.99,0.01,7.39,46.4,1.1,10.0,23.0,1.1,9.75,18.5,1.15,7.0,15.0,1.11,12.2,27.0,1.11,8.0,21.0,1.12,10.0,22.0,1.08,14.5,34.0
D1,2016-08-27,Augsburg,Wolfsburg,76,80,77,82,76,80,75,79,37,43,26,24,65.849999,203.08,0,2,A,0,1,A,13,12,2,6,15,17,2,3,1,2,0,0,0.45,0.71,0.37,0.51,1.04,1.54,9.9,17.21,2.8,3.25,2.6,2.8,3.4,2.4,2.6,3.2,2.6,2.85,3.43,2.64,2.7,3.2,2.45,2.75,3.4,2.6,2.99,3.39,2.56
D1,2016-08-27,Borussia Dortmund,Mainz 05,81,76,86,77,81,76,81,75,31,39,25,24,390.65,96.73,2,1,H,1,0,H,17,12,8,4,3,20,7,2,0,3,0,0,1.82,1.08,0.97,1.03,1.96,0.78,5.4,13.03,1.36,5.0,8.5,1.36,4.6,8.25,1.4,4.4,7.3,1.37,5.41,9.49,1.36,4.5,7.0,1.33,5.4,9.0,1.29,6.55,10.8
D1,2016-08-27,Eintracht Frankfurt,Schalke 04,75,79,76,79,74,77,73,80,35,39,24,24,72.3,217.25,1,0,H,1,0,H,11,11,4,3,11,15,7,5,2,2,1,0,1.87,0.93,1.1,0.84,2.12,0.63,12.21,8.96,3.4,3.3,2.2,3.0,3.5,2.2,3.1,3.3,2.2,3.39,3.64,2.22,2.88,3.5,2.2,3.25,3.6,2.2,3.3,3.53,2.31
D1,2016-08-27,FC Cologne,Darmstadt,76,73,76,72,76,74,75,73,30,39,25,26,116.15,25.98,2,0,H,1,0,H,21,12,8,3,11,15,6,5,3,3,0,0,3.13,0.56,2.6,0.4,2.82,0.11,12.79,17.68,1.8,3.5,4.75,1.75,3.5,4.75,1.8,3.5,4.2,1.78,3.72,5.31,1.8,3.4,4.0,1.8,3.6,4.8,1.54,4.33,7.12
D1,2016-08-27,Hamburger SV,Ingolstadt,76,72,75,72,77,73,75,72,38,32,24,24,80.48,38.63,1,1,D,1,0,H,8,13,1,5,17,15,4,5,2,2,0,0,0.31,1.21,0.23,0.45,0.52,2.19,8.0,7.79,2.2,3.2,3.5,2.2,3.2,3.3,2.1,3.3,3.3,2.22,3.27,3.79,2.1,3.3,3.2,2.2,3.3,3.5,2.46,3.26,3.26
D1,2016-08-27,Borussia M.Gladbach,Bayer Leverkusen,79,80,80,82,79,80,78,79,33,39,24,23,162.18,265.029999,2,1,H,1,0,H,14,12,9,6,11,16,7,3,3,3,0,0,1.89,1.11,1.08,1.04,1.96,0.8,8.72,6.65,2.3,3.4,3.1,2.25,3.4,3.0,2.5,3.2,2.75,2.31,3.62,3.23,2.25,3.3,2.9,2.3,3.5,3.1,2.54,3.55,2.9
D1,2016-08-28,Hertha Berlin,Freiburg,77,72,76,74,76,72,77,72,33,36,25,25,96.53,86.73,2,1,H,0,0,D,15,8,5,2,10,10,5,2,0,3,0,0,0.87,0.36,0.65,0.32,1.8,0.82,13.88,27.15,2.15,3.3,3.5,2.05,3.3,3.6,2.2,3.2,3.2,2.16,3.38,3.84,2.15,3.0,3.4,2.15,3.3,3.7,2.02,3.54,4.14
D1,2016-08-28,Hoffenheim,RB Leipzig,77,73,76,73,76,73,76,73,33,33,24,23,138.63,176.33,2,2,D,0,0,D,11,23,5,9,12,14,2,9,2,4,0,0,1.16,2.48,0.96,1.83,0.53,2.28,6.33,11.04,2.5,3.25,2.9,2.6,3.1,2.75,2.6,3.2,2.6,2.58,3.43,2.94,2.4,3.3,2.7,2.5,3.4,2.9,2.47,3.5,3.03
D1,2016-09-09,Schalke 04,Bayern Munich,79,86,79,86,77,85,80,87,39,33,24,26,217.25,562.55,0,2,A,0,0,D,9,18,2,2,13,12,2,7,2,4,0,0,0.97,2.23,0.32,2.06,0.5,2.3,12.06,5.81,10.0,5.5,1.3,11.0,5.75,1.3,8.5,5.0,1.35,10.84,5.89,1.32,9.0,5.5,1.3,11.0,5.75,1.29,11.3,6.07,1.3
